Title;Authors;Abstract;Published Year;Published Month;Journal;Volume;Issue;Pages;Accession Number;DOI;Ref;Covidence #;Study;Tags
Effects of a graduated instructional sequence on the algebraic subtraction of integers by secondary students with learning disabilities;"Maccini, Paula; Ruhl, Kathy L.";For many students with learning disabilities (LDs), difficulties with higher-order reasoning and problem-solving skills that embody higher-level mathematics hinder success in this area. Thus, adequate instruction is needed for students with LDs to meet the demands for math skills needed in future educational and occupational settings. To address this need, an instructional strategy was developed. A multiple-probe-sign across subjects was used to investigate effects of the strategy on solution of algebra problems involving subtraction of integers for 3 male adolescents with LDs. Students moved through 3 levels of instruction: (a) concrete (i.e., manipulating physical objects to represent mathematics problems), (b) semi-concrete (i.e., drawing pictorial representations of the problems), and (c) abstract (i.e., writing mathematical symbols to represent and solve problems) and applied a 1st letter acronym, STAR, to help them effectively solve problems. Following instruction, students' percent strategy use and problem-solving skills involving integers improved. Generalization of treatment effects was evident in a near generalization task for 1 student and over time for all students. (PsycInfo Database Record (c) 2020 APA, all rights reserved);2000;11-01;Education and Treatment of Children;23;4;465-489;;;;#20184;Maccini 2000;
Teaching vocational skills with a faded auditory prompting system;"Mitchell, RJ; Schuster, JW; Collins, BC; Gassaway, LJ";;2000;;EDUCATION AND TRAINING IN MENTAL RETARDATION AND DEVELOPMENTAL DISABILITIES;35;4;415-427;;;;#1154;Mitchell 2000;
The effects of general case training of manding responses on children with severe disabilities;"O'Neill, Robert E.; Faulkner, Cheryl; Horner, Robert H.";Families, applied researchers, and teachers and support providers continue to be interested in effective strategies for teaching generalized repertoires of communicative skills to learners with severe disabilities. The present study assessed the effects of a general case training procedure in establishing manding or requesting responses by three students, aged 5–10 yrs old, with severe disabilities across a range of settings and situations. The data indicated that the general case approach was successful in establishing generalized manding for all three students. The limitations of the study and the implications of these results for future research and application are discussed. (PsycINFO Database Record (c) 2016 APA, all rights reserved);2000;03-01;Journal of Developmental and Physical Disabilities;12;1;43-60;;;;#21858;O'Neill 2000;
Simultaneous prompting and instructive feedback when teaching chained tasks;"Parrott, K.A.; Schuster, J.W.; Collins, B.C.; Gassaway, L.J.";This study evaluated the effectiveness of the simultaneous prompting procedure when teaching students with moderate to severe mental retardation a chained task (i.e., hand washing). This study also evaluated if students could acquire responses to instructive feedback stimuli presented during training sessions. The effectiveness of these procedures was assessed by using a multiple probe across students design. Acquisition, maintenance, and generalization data were collected and analyzed. Results indicated that the simultaneous prompting procedure was effective in teaching 3 of the 5 students to follow a 16-step task analysis to wash their hands. All students who met criterion maintained and generalized the skills with 100% accuracy. All students acquired some of the instructive feedback stimuli. Future research issues are discussed. © 2000 Human Sciences Press, Inc.;2000;;Journal of Behavioral Education;10;1;3-19;;10.1023/A:1016639721684;;#9863;Parrott 2000;
Computer and pedagogy: Replacing telling with computer assisted instruction for teaching arithmetic skills to mentally retarded children;"Patra, J.; Rath, P. K.";Examined the efficacy of using computers to teach simple arithmetic and the concept of number. Four mentally retarded children (aged 12–14 yrs) were given classroom instruction, with 2 Ss receiving supplemental intensive training for 30 days by means of a computer. Comparison of scores of tests administered before, immediately after training termination, and 1 wk subsequent to training termination show that Ss benefitted significantly from computer-aided instruction. (PsycINFO Database Record (c) 2016 APA, all rights reserved);2000;01-01;Social Science International;16;1-2;70-78;;;;#20794;Patra 2000;
Teaching communication book use to a high school student using a milieu approach;"Rodi, MS; Hughes, C";;2000;;JOURNAL OF THE ASSOCIATION FOR PERSONS WITH SEVERE HANDICAPS;25;3;175-179;;10.2511/rpsd.25.3.175;;#1163;Rodi 2000;
A Social Skill Training for Persons with Down's Syndrome;"Soresi, Salvatore; Nota, Laura";;2000;;EUROPEAN PSYCHOLOGIST;5;1;34-43;;10.1027//1016-9040.5.1.34;;#562;Soresi 2000;
The Effects of Self-Directed IEP on Student Participation in IEP Meetings;"Allen, S.K.; Smith, A.C.; Test, D.W.; Flowers, C.; Wood, W.M.";This study evaluated the effects of teaching a modified version of Self-Directed IEP to students with moderate mental retardation on participation in their Individual Educational Program (IEP) meetings. Results indicated a functional relationship between the information taught in the modified Self-Directed IEP lesson package and an increase in student participation in their annual IEP meeting. In addition, there were statistically significant increases from pre-training IEP meetings to post-training IEP meetings for all skills. © 2001, Sage Publications. All rights reserved.;2001;;Career Development for Exceptional Individuals;24;2;107-120;;10.1177/088572880102400202;;#9633;Allen 2001;
Teaching secondary students with moderate disabilities in an inclusive academic classroom setting;"Collins, Belva C.; Branson, Terri A.; Hall, Meada; Rankin, Stephanie Wheatley";English teacher and peer tutors used a system of least prompts procedure to teach 4 secondary students (aged 16–19 yrs) with moderate disabilities to write letters within secondary composition class setting. While students without disabilities simultaneously worked on composition assignments, they taught the students with disabilities to write letters that included the following 4 components: (a) heading, (b) greeting, (c) content body, and (d) closing. A multiple probe sign across students evaluated the effectiveness of the procedure. The English teacher collected supplementary data as to the attitudes of the composition class students toward the students with disabilities who participated in their class. Results indicate that it is possible to reliably incorporate direct instruction on functional academic skills within an inclusive setting. However, support for the regular education classroom teacher is desirable. Issues as to isolation within the academic setting and limited teacher interaction are discussed. (PsycINFO Database Record (c) 2016 APA, all rights reserved);2001;03-01;Journal of Developmental and Physical Disabilities;13;1;41-59;;;;#21906;Collins 2001;
The UCLA reading and writing program: an evaluation of the beginning stages.;"Eikeseth, Svein; Jahr, Erik";;2001;2001;Research in developmental disabilities;22;4;289-307;;10.1016/s0891-4222(01)00073-7;;#44852;Eikeseth 2001;systematic_review_manual
The effects of peer delivered self-monitoring strategies on the participation of students with severe disabilities in general education classrooms;"Gilberts, Guy H.; Agran, Martin; Hughes, Carolyn; Wehmeyer, Michael";Investigated the effects of self-monitoring instruction delivered by peer tutors on the occurrence of academic survival skills displayed by 5 middle school students with severe intellectual disabilities in general education classrooms. The students were taught to indicate on a self-recording sheet if they performed each of 11 skills. The results of observations by peer tutors and adult Os show an increase in the percentages of occurrence of survival skills across all students. Also, their general education teachers indicated they observed a positive change for 4 of the 5 students. All students indicated that they believed that they were part of the class and reported an increase in their classroom participation. (PsycINFO Database Record (c) 2016 APA, all rights reserved);2001;04-01;Journal of the Association for Persons with Severe Handicaps;26;1;25-36;;;;#17934;Gilberts 2001;
Acquisition of content area vocabulary for students with learning disabilities;"Keel, Marie; Slaton, Deborah Bott; Blackhurst, A. Edward";"This study compared the effects of 2 variations of the constant-time-delay (CTD) procedure on the observational learning of students with learning disabilities in a small-group instructional arrangement. Each student was taught to read 2 individualized lists of content area vocabulary words. The target words of other students in the group served as the observational words for each student. An adapted alternating treatments design was used to compare the effects of the 2 instructional conditions on students' target words. In the first condition, a group attentional response (Everybody Writes) condition was used in which all students copied the target word on an erasable board before the target student answered. In the second condition, an individual attentional response (Only Target Student Writes) condition was used; only the target student copied the word on the erasable board before responding. Results indicate that both conditions were equally effective for learning target words, but the Everybody Writes condition was more effective in promoting observational reading of other students' target words. There was no significant interaction effect for spelling of other students' target words. (PsycInfo Database Record (c) 2020 APA, all rights reserved)";2001;02-01;Education and Treatment of Children;24;1;46-71;;;;#22666;Keel 2001;
Naturalistic assessment of and intervention for mouthing behaviors influenced by establishing operations;"Lohrmann-O'Rourke, Sharon; Yurman, Beth";This study provides an example of an innovative practice for the assessment and intervention of mouthing behaviors influenced by an establishing operation. The participant was a 6-year-old boy with Down syndrome and severe mental retardation and a seizure disorder who was attending a self-contained class in his local school. A functional analysis embedded within five activities (i.e., alone time, task demand, play, circle, and eating) during the classroom's typical routine was conducted. Results of the functional analysis suggested mouthing was maintained by multiple functions and most frequently occurred during the alone time, circle time, and task demand activities. The functional analysis also revealed that the participant was more likely to mouth in the presence of an establishing operation (i.e., sinus infection). Preferred items were noncontingently offered using an antecedent choice intervention. Ongoing choices of preferred items resulted in reductions in mouthing, even in the presence of the establishing operation. (PsycINFO Database Record (c) 2016 APA, all rights reserved);2001;01-01;Journal of Positive Behavior Interventions;3;1;19-27;;;;#19082;Lohrmann-O'Rourke 2001;
Peer- versus Teacher-Delivered Instruction: Effects on Acquisition and Maintenance;"Miracle, Sally A.; Collins, Belva C.; Schuster, John W.; Grisham-Brown, Jennifer";Effects of peer versus teacher delivered individualized instruction when teaching basic sight words with a constant time delay procedure to four secondary students with moderate/severe disabilities are compared. Results show that, while both modes of delivery are effective, teacher instruction was slightly more efficient than peer tutor instruction. (Contains references.) (Author/CR);2001;12-01;Education and Training in Mental Retardation and Developmental Disabilities;36;4;373-85;;;;#30776;Miracle 2001;
Using an Instructional Package Including Video Technology To Teach Self-Help Skills to Elementary Students with Mental Disabilities;"Norman, Jacqueline M.; Collins, Belva C.; Schuster, John W.";A study investigated the effectiveness of a treatment package that included video technology (e.g., video modeling and video prompting) to teach 3 self-help skills (cleaning sunglasses, putting on a wrist watch, and zipping a jacket) to 3 elementary students with mental disabilities. Results indicate the treatment package was effective. (Contains references.) (Author/CR);2001;07-01;Journal of Special Education Technology;16;3;5-18;;;;#30487;Norman 2001;
Brief Report: An Assessment of Stimulus Generalization and Contingency Effects in Functional Communication Training with Two Students with Autism;"O'Neill, R.E.; Sweetland-Baker, M.";;2001;;Journal of Autism and Developmental Disorders;31;2;235-240;;10.1023/A:1010711518182;;#9617;O'Neill 2001;
Teaching students with combined behavioral disorders and mental retardation to lead their own IEP meetings;Snyder, E.P.;"For students with combined cognitive limitations and behavioral disorders (BD), postschool outcomes are poor; their lives are marked by a lack of independence and empowerment. A major goal of special education is to develop successful models to promote individual independence and empowerment for students. The individualized education program (IEP) planning meeting provides opportunities for students to develop critical skills for self-management, self-advocacy, goal setting, and choice making. This research extended the work of Snyder and Shapiro (1997) and examined the effectiveness of teaching adolescent students with mental retardation and BD to lead their own IEP meetings. Five students learned to (a) introduce others at their IEP meetings, (b) review their past IEP goals, (c) discuss their future IEP goals, and (d) close their meetings. The students rated the instruction as acceptable. Implications and limitations of the investigation are discussed.";2001;;Behavioral Disorders;27;4;340-357;;10.1177/019874290202700411;;#9701;Snyder 2001;
Examining the effects of teaching ninth grade students receiving special education learning support services to conduct own IEP meetings;Snyder, Edward Paul;Students with learning disabilities often experience problems associated with an inability to self-regulate their behavior to meet the social and educational demands needed to achieve success in school (Lerner, 1988). The individualized education program (IEP) of students with learning disabilities provides an opportunity to teach selfdetermination. Houck (1984) points out that the IEP addresses the unique needs and goals of students. Setting one's own goals has been shown to often result in increased personal responsibility, enhanced self-efficacy, and leads to more frequent attainment of these goals. Though numerous goals are contained in IEPs, student involvement in setting their IEP goals, even at the secondary level, is for the most part either nonexistent or passive. This study examined the effects of training students receiving special education learning support services to set goals through active participation in the development of their own IEPs across 13 students. Results showed that 12 students were able to demonstrate the behaviors needed for managing their own IEP under analogue and actual IEP meeting conditions. Grades collected for all students revealed they maintained a level of achievement following their IEP meeting that was similar to their level of achievement prior to leading their IEP meeting. The results of goal attainment scaling showed that 8 students performed near or an expected level of performance or better on goals set for academic subjects. Students did report higher self-efficacy ratings following training for IEP meeting participation. The training for IEP participation and IEP goal setting was rated by students as satisfactory, and teachers reported that student-led IEP meetings were acceptable. Limitations of this study and implications for future research are also discussed. (PsycINFO Database Record (c) 2016 APA, all rights reserved);2001;01-01;Dissertation Abstracts International Section A: Humanities and Social Sciences;61;7-A;2598-2598;;;;#17960;Snyder 2001;original_search
Interaction patterns between children and their teachers when using a specific multimedia and communication strategy: Observations from children with autism and mixed intellectual disabilities;"Tjus, Tomas; Heimann, Mikael; Nelson, Keith E.";Examined observed interaction patterns between 11 children with autism (mean age 9.3 yrs) and 9 children with mixed intellectual disabilities (mean age 13.1 yrs) and their 9 teachers working with a specially developed multimedia program to increase literacy skills. Results of observation over 3–4 mo shows there was an increase in verbal expression for the total group. The children with autism also showed increased enjoyment and willingness to seek help from their teachers. Teachers for both groups reduced instructions on how to handle the computer during the program, but the decrease was greater in the teachers for children with autism. When the total group subdivided according to language age (high vs low), it appeared that those with a low language age showed an increase in verbal expressiveness from start to end of training. Those with a high language age showed increased enjoyment. It is concluded that more detailed studies of the interaction patterns between teachers and children are needed, and these should be related to children's language level as well as to diagnostic group. (PsycINFO Database Record (c) 2016 APA, all rights reserved);2001;06-01;Autism;5;2;175-187;;;;#20663;Tjus 2001;
Adaptations of fast mapping for vocabulary intervention with augmented language users;"Wilkinson, K.M.; Albert, A.";"Over the past 20 years, a phenomenon called ""fast mapping"" has received considerable attention as a potential explanation for the rapid vocabulary expansion typically observed in the preschool years. It has been proposed that children learn new words rapidly by sketching quick, incomplete maps of word meanings after only very few exposures to the word. Recently, several authors have suggested that adaptations of procedures used to explore fast mapping might be useful as an intervention tool for individuals with limited vocabulary associated with developmental delays. This article describes successful adaptation of fast mapping for teaching sight word recognition with two participants with cognitive and communication limitations. Important variations that were necessary to match teaching procedures to learning styles are highlighted across the two participants.";2001;;AAC: Augmentative and Alternative Communication;17;2;120-132;;10.1080/aac.17.2.120.132;;#9707;Wilkinson 2001;
Increasing the problem-solving skills of students with developmental disabilities participating in general education;"Agran, M; Blanchard, C; Wehmeyer, M; Hughes, C";;2002;;REMEDIAL AND SPECIAL EDUCATION;23;5;279-288;;10.1177/07419325020230050301;;#1209;Agran 2002;
Use of the timeout ribbon procedure during community-based instruction;"Alberto, P; Heflin, LJ; Andrews, D";;2002;;BEHAVIOR MODIFICATION;26;2;297-311;;10.1177/0145445502026002008;;#1227;Alberto 2002;
Use of a structured descriptive assessment methodology to identify variables affecting problem behavior;"Anderson, Cynthia M.; Long, Ethan S.";This study evaluated a variation of functional assessment methodology, the structured descriptive assessment (SDA). The SDA is conducted in an individual's natural environment and involves systematically manipulating antecedent variables while leaving consequences free to vary. Results were evaluated by comparing the results of an SDA with results obtained from an analogue functional analysis with 4 children who exhibited problem behavior. The participants were an 8 yr old boy with autism and moderate to severe mental retardation, a 13 yr old girl with Down syndrome and profound mental retardation, a 13 yr old boy with moderate to severe mental retardation, and a 6 yr old boy with autism. For 3 of 4 participants, the results of the two assessments suggested similar hypotheses about variables maintaining problem behavior. Interventions based on the results of the SDA were implemented for 3 children and resulted in significant reductions in rates of problem behavior. (PsycINFO Database Record (c) 2016 APA, all rights reserved);2002;07-01;Journal of Applied Behavior Analysis;35;2;137-154;;;;#19508;Anderson 2002;
The effect of an idiosyncratic stimulus on self-injurious behavior during task demands;"Carey, Yvonne A.; Halle, James W.";Investigated the influence of a potential establishing operations (EO) on the self-injurious behavior (SIB) of a 12-year-old male with severe mental retardation. This study was conducted in two phases: functional analysis and treatment. Results of the functional analysis indicated that SIB was maintained by escape from demands and access to an activity (listening to music). In the treatment phase, the authors examined the effects of the presence and absence of music, a putative EO, on SIB during the demand condition. Results indicated that the presence of music was correlated with a reduced rate of SIB during the demand condition. Some possible mechanisms by which music affected SIB are discussed. (PsycInfo Database Record (c) 2020 APA, all rights reserved);2002;02-01;Education and Treatment of Children;25;1;131-141;;;;#23766;Carey 2002;
An intervention package to support high school students with mental retardation in general education classrooms;"Copeland, SR; Hughes, C; Agran, M; Wehmeyer, ML; Fowler, SE";;2002;;AMERICAN JOURNAL ON MENTAL RETARDATION;107;1;32-45;;"10.1352/0895-8017(2002)107<0032:AIPTSH>2.0.CO;2";;#1198;Copeland 2002;
The effects of simultaneous prompting on teaching receptively identifying occupations from picture cards;"Dogan, Osman Senai; Tekin-Iftar, Elif";A multiple probe across subjects design was used to examine whether or not the use of simultaneous prompting procedure would result in an increase on the percentage of correct responding of receptively identifying occupations from picture cards. Maintenance and generalization effects of simultaneous prompting were also investigated. Five occupations were taught to each subject. Black and white picture cards were used to explain occupations during full and daily probe, instructional and maintenance probe sessions. Colored picture cards were used during generalization sessions and generalization probe was assessed before and after instruction. Maintenance sessions were conducted 1, 2, and 4 weeks after the instruction. Simultaneous prompting was effective for teaching receptively identifying occupations from picture cards. Maintenance and generalization effects of simultaneous prompting were also positive. Future research is needed to extend the current literature about simultaneous prompting. (PsycInfo Database Record (c) 2020 APA, all rights reserved);2002;07-01;Research in Developmental Disabilities;23;4;237-252;;;;#23418;Dogan 2002;
Social skills training for adolescents with intellectual disabilities: A cautionary note;"Elliott, C; Pring, T; Bunning, K";;2002;;JOURNAL OF APPLIED RESEARCH IN IN℡LECTUAL DISABILITIES;15;1;91-96;;;;#695;Elliott 2002;
Enhancing self-management in students with mental retardation: Extrinsic versus intrinsic procedures;"Firman, KB; Beare, P; Loyd, R";;2002;;EDUCATION AND TRAINING IN MENTAL RETARDATION AND DEVELOPMENTAL DISABILITIES;37;2;163-171;;;;#1160;Firman 2002;
Teaching elementary students with cognitive disabilities food preparation skills while embedding instructive feedback in the prompt and consequent event;"Fiscus, RS; Schuster, JW; Morse, TE; Collins, BC";;2002;;EDUCATION AND TRAINING IN MENTAL RETARDATION AND DEVELOPMENTAL DISABILITIES;37;1;55-69;;;;#718;Fiscus 2002;
Teaching Decoding for Generalization Using the Nonverbal Reading Approach;"Heller, Kathryn Wolff; Fredrick, Laura D.; Tumlin, Jennifer; Brineman, Debbie G.";;2002;2002;Journal of Developmental and Physical Disabilities;14;1;19-35;;10.1023/a:1013559612238;;#44724;Heller 2002;systematic_review_manual
Comparison of two instructional strategies for acquiring form and sound of Hebrew letters by students with mild mental retardation;"Hetzroni, OE; Shavit, P";;2002;;EDUCATION AND TRAINING IN MENTAL RETARDATION AND DEVELOPMENTAL DISABILITIES;37;3;273-282;;;;#1225;Hetzroni 2002;
Concurrent reinforcement schedules: Behavior change and maintenance without extinction;"Hoch, Hannah; McComas, Jennifer J.; Thompson, Andrea L.; Paone, Debra";The authors evaluated the effects of concurrent schedules of reinforcement on negatively reinforced problem behavior and task completion with 2 children with autism, aged 9 and 11 yrs, and a 10 yr old boy with health impairments related to vision, hearing impairments, mild to moderate mental impairments, and language impairment. Results indicated that problem behavior occurred at high levels and relatively few tasks were completed when problem behavior produced a break (from tasks) and task completion produced either no consequence or a break. By contrast, problem behavior was eliminated and tasks were completed when problem behavior produced a break and task completion produced a break with access to preferred activities. Treatment gains were maintained without the use of extinction when the response requirement was increased and the schedule of reinforcement was thinned. (PsycINFO Database Record (c) 2016 APA, all rights reserved);2002;07-01;Journal of Applied Behavior Analysis;35;2;155-169;;;;#26273;Hoch 2002;
Increasing social interaction between general education high school students and their peers with mental retardation;"Hughes, C; Copeland, SR; Wehmeyer, ML; Agran, M; Cai, XS; Hwang, B";;2002;;JOURNAL OF DEVELOPMENTAL AND PHYSICAL DISABILITIES;14;4;387-402;;10.1023/A:1020386920054;;#1208;Hughes 2002;
Using self-monitoring to improve performance in general education high school classes;"Hughes, C; Copeland, SR; Agran, M; Wehmeyer, ML; Rodi, MS; Presley, JA";;2002;;EDUCATION AND TRAINING IN MENTAL RETARDATION AND DEVELOPMENTAL DISABILITIES;37;3;262-272;;;;#1218;Hughes 2002;
Effects of instructional versus non-instructional roles on the social interactions of high school students;"Hughes, C; Carter, EW; Hughes, T; Bradford, E; Copeland, SR";;2002;;EDUCATION AND TRAINING IN MENTAL RETARDATION AND DEVELOPMENTAL DISABILITIES;37;2;146-162;;;;#1252;Hughes 2002;
Effects on stereotypy and other challenging behavior of matching rates of instruction to free-operant rates of responding;"Johnson, J.W.; Van Laarhoven, T.; Repp, A.C.";Research has shown that when individuals are in situations that do not occasion one form of motoric responding, they will engage in another so that the overall level of motoric responding is homeostatic. The purpose of this study was to test whether students would substitute task-related behaviors for stereotypic or other challenging behaviors when the opportunity for active responding did or did not match the level of motoric responding in a free-operant baseline. Four students with mental retardation participated. Results showed that they did substitute behaviors, with stereotypic and other challenging behaviors occurring 1.5-14 times as much in the Non-matched condition for the four students. Further analysis showed considerably more of these behaviors in passive than in active tasks (by a factor up to 21 times as much). Results were discussed in terms of homeostasis, functional assessment, and opportunities to improve educational behaviors. © 2002 Elsevier Science Ltd. All rights reserved.;2002;;Research in Developmental Disabilities;23;4;266-284;;10.1016/S0891-4222(02)00120-8;;#9446;Johnson 2002;
Facilitating word recognition and spelling using word boxes and word sort phonic procedures;Joseph, LM;;2002;;SCHOOL PSYCHOLOGY REVIEW;31;1;122-129;;;;#1143;Joseph 2002;original_search
The effects of competing reinforcement schedules on the acquisition of functional communication;"Kelley, Michael E.; Lerman, Dorothea C.; Van Camp, Carole M.";The initial efficacy of functional communication training (FCT) was evaluated when problem behavior continued to produce intermittent reinforcement. A 9-yr-old male, a 10-yr-old male, and a 10-yr-old female who had been diagnosed with mental retardation participated. Results for 2 of 3 participants showed that FCT was most effective when problem behavior was also exposed to extinction, response blocking, or both. (PsycINFO Database Record (c) 2016 APA, all rights reserved);2002;04-01;Journal of Applied Behavior Analysis;35;1;59-63;;;;#23943;Kelley 2002;
A study on the agent-based word-recognition learning system for pupils with moderate mental retardation;"Lin, YL; Li, TY; Chen, MC";;2002;;;;;1019-1020;;;;#1108;Lin 2002;
